	SRR1927149	SRR1929485
K01548	4.03	17.159
K01551	4.063	0
K01557	144.332	57.739
K01560	204.399	55.937
K01563	4.583	0
K01565	11.938	3.288
K01567	78.872	38.388
K01571	398.065	110.626
K01572	760.389	333.878
K01573	43.411	17.366
K01575	24.817	12.319
K01577	1.481	9.693
K01579	429.083	99.506
K01580	2.876	34.086
K01581	307.421	117.211
K01582	26.914	29.86
K01583	5.39	0
K01584	3.447	13.225
K01585	880.759	341.097
K01586	1039.317	218.332
K01588	722.168	182.885
K01589	12.879	8.247
K01590	53.69	9.507
K01591	750.657	185.325
K01595	3.162	40.81
K01596	229.768	74.463
K01599	47.697	72.609
K01601	0.377	4.928
K01607	680.599000000001	139.067
K01608	0.897	9.339
K01609	235.908	123.569
K01610	1275.381	358.48
K01611	79.929	49.936
K01613	596.072	134.935
K01615	315.516	147.352
K01619	592.017	234.076
K01620	304.789	120.262
K01621	90.456	39.909
K01623	0.37	9.623
K01624	1142.263	363.286
K01625	362.336	147.111
K01626	434.509	106.201
K01627	453.041	108.39
K01628	302.696	82.866
K01629	216.073	78.202
K01630	3.716	7.821
K01631	0.398	7.06
K01633	472.074	94.595
K01637	0.866	9.571
K01638	2.992	19.909
K01639	209.865	53.635
K01641	26.237	11.848
K01643	199.913	71.032
K01644	148.656	51.242
K01646	113.682	33.188
K01647	742.087	153.296
K01649	952.898	230.197
K01652	1182.78	324.996
K01653	679.108	138.04
K01654	153.805	30.4
K01657	597.165	188.897
K01658	468.41	99.811
K01659	2.171	12.783
K01661	413.651	81.062
K01662	1357.76	461.334
K01664	1.333	11.205
K01665	233.757	21.066
K01666	75.388	17.999
K01667	97.005	44.252
K01669	2.215	12.941
K01671	1.317	8.493
K01673	183	54.322
K01674	2.571	0
K01676	784.371	275.683
K01677	182.667	59.854
K01678	145.23	41.793
K01679	106.978	39.908
K01681	601.723	272.07
K01682	312.219	34.702
K01683	2.618	0
K01684	8.863	16.186
K01685	237.527	128.231
K01686	688.603	259.616
K01687	816.749	220.714
K01689	944.686	304.809
K01690	1.114	6.466
K01692	6.217	12.168
K01693	141.845	49.001
K01695	504.979	140.278
K01696	574.062	186.241
K01698	85.953	70.688
K01703	864.525	217.119
K01704	611.09	163.967
K01706	1.68	18.572
K01708	16.324	7.88
K01709	349.958	47.954
K01710	1039.862	290.04
K01711	393.182	141.142
K01712	239.871	68.348
K01713	31.427	1.025
K01714	870.804	251.929
K01715	161.716	60.542
K01716	219.945	13.434
K01719	274.939	123.768
K01720	12.575	20.001
K01725	0.204	9.79
K01727	7.065	10.774
K01728	460.936	154.037
K01729	7.594	0
K01731	5.226	0
K01733	876.954	233.646
K01734	211.296	79.411
K01735	699.899	180.885
K01736	630.932	175.099
K01737	427.241	87.645
K01738	1168.197	278.131
K01739	296.971	41.955
K01740	1554.754	485.28
K01741	12.408	3.702
K01744	364.031	181.924
K01745	226.899	56.775
K01746	57.246	20.145
K01749	51.188	51.347
K01750	128.247	14.693
K01751	20.776	11.192
K01752	507.446	260.788
K01753	35.013	24.984
K01754	664.207	212.782
K01755	820.509	237.861
K01756	966.796	297.851
K01758	2.788	0.948
K01759	387.046	103.017
K01760	67.789	20.578
K01761	50.358	20.225
K01766	9.294	9.729
K01768	391.178	119.55
K01770	686.284	147.555
K01771	46.407	0.81
K01772	3.534	8.087
K01775	1014.126	359.682
K01776	713.81	213.17
K01777	8.412	3.217
K01778	678.458	167.916
K01779	84.377	31.165
K01781	6.918	3.419
K01782	1.946	14.395
K01783	820.223	211.97
K01784	1500.916	408.901
K01785	825.32	309.703
K01787	299.225	58.733
K01788	18.157	15.311
K01790	1084.632	340.292
K01791	507.621	190.153
K01792	7.787	8.645
K01793	5.907	3.15
K01796	11.693	2.379
K01801	0.39	4.17
K01802	317.801	102.941
K01803	1071.2675	334.4305
K01804	656.262	242.137
K01805	89.564	30.285
K01807	235.627	37.644
K01808	470.243	184.375
K01809	614.024	212.697
K01810	1190.824	398.285
K01811	1263.829	592.641
K01812	447.73	164.702
K01813	334.833	112.356
K01814	519.707	136.903
K01815	290.72	119.379
K01816	6.971	8.182
K01817	238.735	101.592
K01818	337.745	106.417
K01819	56.78	17.458
K01821	44.497	16.669
K01823	129.092	48.868
K01825	2.645	13.004
K01826	1.273	7.197
K01829	0.333	3.003
K01834	207.237	101.366
K01835	1246.1	460.791
K01838	508.082	141.685
K01839	208.863	115.84
K01840	587.745	249.905
K01841	178.526	21.199
K01843	106.09	21.923
K01844	80.417	23.691
K01845	218.53	114.777
K01846	30.044	2.55
K01847	320.434	127.221
K01848	94.321	29.781
K01849	44.73	25.264
K01854	350.685	141.327
K01858	177.781	87.87
K01866	1053.088	372.42
K01867	1019.707	289.161
K01868	1348.45	470.044
K01869	1665.472	684.613
K01870	1901.037	690.054
K01872	1587.756	615.267
K01873	1567.515	618.641
K01874	1474.736	630.627
K01875	1151.143	360.788
K01876	1383.916	457.449
K01878	390.828	38.638
K01879	424.934	65.42
K01880	955.555000000001	406.825
K01881	1216.865	488.092
K01883	1281.94	469.902
K01884	13.123	9.738
K01885	1100.25	374.625
K01886	919.742999999999	264.654
K01887	1288.629	518.337
K01889	973.034	307.251
K01890	1364.943	503.889
K01892	937.556	263.999
K01893	1097.839	339.491
K01894	175.597	11.191
K01895	519.836	241.862
K01897	2499.207	906.312
K01902	283.459	40.656
K01903	303.793	22.307
K01904	0.257	4.974
K01905	17.2185	1.688
K01906	35.51	26.4345
K01908	1.377	22.422
K01909	5.598	0.463
K01910	98.65	38.626
K01911	396.896	83.604
K01912	532.369	118.432
K01914	633.662	201.332
K01915	2110.382	826.603
K01916	55.474	38.225
K01918	483.636	94.876
K01919	1.57	10.209
K01920	0.757	13.25
K01921	991.014000000001	283.118
K01923	938.314	305.541
K01924	997.189	321.922
K01925	1008.658	302.78
K01926	315.507	76.277
K01928	1010.721	342.885
K01929	952.043	327.459
K01932	28.123	0.51
K01933	956.109	253.599
K01934	547.415	96.854
K01935	270.792	41.538
K01937	1203.774	394.2
K01938	550.275	300.488
K01939	968.758	329.446
K01940	1337.337	407.342
K01941	13.523	7.77
K01945	855.463	288.36
K01950	827.788	250.001
K01951	1163.981	330.074
K01952	1709.915	678.21
K01953	886.949999999999	275.854
K01955	2555.034	994.382
K01956	858.034	254.956
K01958	130.044	52.146
K01959	4.297	1.899
K01960	598.98	246.905
K01961	433.552	61.081
K01962	338.5525	35.5265
K01963	305.7475	35.7535
K01965	57.225	23.416
K01966	572.541	225.576
K01968	30.589	11.395
K01972	1075.238	436.185
K01974	0.497	15.733
K01975	41.506	4.775
K01989	366.034	149.086
