	SRR1927149	SRR1929485
K02425	776	4258
K02426	107748	45284
K02427	189849	20749
K02428	626680	156809
K02429	934387	324498
K02430	5665	9991
K02431	21548	12412
K02433	243778	93209
K02434	288719	108210
K02435	54716	28458
K02436	586	1666
K02437	96605	21199
K02438	1672	18450
K02439	839	4985
K02440	35027	26809
K02441	350193	24755
K02442	567	2877
K02443	7334	5881
K02444	25349	22222
K02445	77345	37504
K02446	346011	30771
K02448	559	11708
K02450	497536	34890
K02451	136146	4795
K02452	210983	14649
K02453	593578	60530
K02454	440325	51156
K02455	348255	25494
K02456	249829	35654
K02457	184729	8387
K02458	97911	5982
K02459	153007	7528
K02460	262222	19004
K02461	349742	23546
K02462	1798	7437
K02464	1349	11183
K02466	4369	2226
K02467	430	5410
K02468	1571	6381
K02469	2289962	536897
K02470	2053509	472674
K02471	505187	36783
K02472	17126	19453
K02473	35343	5720
K02474	142667	53425
K02475	396	279
K02476	17809	0
K02477	670813	171037
K02478	281675	70274
K02479	87576	18067
K02480	9293	2320
K02481	352758	130175
K02482	142258	21345
K02483	850617	174977
K02484	243809	43102
K02485	6053	7444
K02486	18070	199
K02487	228.5	848
K02488	914567	57342
K02490	3136	461
K02491	20130	886
K02492	69041	46695
K02493	546198	134710
K02494	127588	4516
K02495	204036	111690
K02496	381875	19251
K02497	1777	129
K02498	1529	8517
K02499	153618	54428
K02500	355117	81002
K02501	291494	54721
K02502	71943.5	35899
K02503	254921	56707
K02504	2196	15954
K02505	2036	13403
K02507	8793	13327
K02508	113136	15593
K02510	12726	3983
K02511	570	1321
K02515	100	1425
K02517	494260	100785
K02518	190505	53641
K02519	1910986	548104
K02520	443836	112679
K02521	245684	41944
K02523	469164	77270
K02525	6233	188
K02526	1338	11392
K02527	628968	111874
K02528	583501	133982
K02529	2542710	499234
K02530	1187	685
K02532	26236	28089
K02533	57993	19850
K02535	339062	36188
K02536	581676	106115
K02538	8747	4068
K02548	543985	60756
